user,type,source,group
xesneu,local-user,group:psr_radar,psr_radar
fmartin,local-user,group:psr_radar,psr_radar
ecadic,local-user,group:radmar,radmar
xesneu,local-user,group:radmar,radmar
dmechain,local-user,group:radmar,radmar
cimbert,local-user,group:radmar,radmar
ccibert,local-user,group:rcfadm,rcfadm
wcottavo,local-user,group:rcfadm,rcfadm
jpuy9,local-user,group:rd_radar,rd_radar
dbonnefi,local-user,group:rpu430_svn,rpu430_svn
cimbert,local-user,group:rpu430_svn,rpu430_svn
operrier,local-user,group:safee,safee
ftrincal,local-user,group:secuains,secuains
jlephay,local-user,group:secuains,secuains
cmarco,local-user,group:secuains,secuains
prouquie,local-user,group:secuains,secuains
ccibert,local-user,group:spipafis,spipafis
cherrero,local-user,group:spipafis,spipafis
ecadic,local-user,group:splat,splat
xesneu,local-user,group:splat,splat
dmechain,local-user,group:splat,splat
ldemont,local-user,group:splat,splat
jcazeils,local-user,group:srco,srco
wcottavo,local-user,group:srco,srco
fcomte,local-user,group:srco,srco
tomcat,local-user,group:tomcat,tomcat
fdeweulf,local-user,group:tomcat,tomcat
shamard,local-user,group:ts_radar,ts_radar
jpuy9,local-user,group:ts_radar,ts_radar
odallaro,local-user,group:ts_radar_svn,ts_radar_svn
fgayraud,local-user,group:uart429,uart429
marnaud,local-user,group:uart429,uart429
fmorel,local-user,group:uart429,uart429
nammour,local-user,group:uart429,uart429
dbonnefi,local-user,group:uart429,uart429
cterrat,local-user,group:vmware,vmware
ggodfrey,local-user,group:vsim,vsim
ecadic,local-user,group:waogds,waogds
xesneu,local-user,group:waogds,waogds
dmechain,local-user,group:waogds,waogds
polive,local-user,group:waogds,waogds
ggodfrey,local-user,group:waogds,waogds
egomez,local-user,group:waogds,waogds
fmitton,local-user,group:waogds,waogds
plombard,local-user,group:waogds,waogds
xpoulet,local-user,group:waogds,waogds
nammour,local-user,group:waogds,waogds
jneufabe,local-user,group:waogds,waogds
smontroz,local-user,group:waogds,waogds
otrehard,local-user,group:waogds,waogds
cimbert,local-user,group:waogds,waogds
rchabane,local-user,group:waogds,waogds
fmartin,local-user,group:waogds,waogds
xesneu,local-user,group:waows_perf,waows_perf
xesneu,local-user,group:waows_res,waows_res
xesneu,local-user,group:waows_sta,waows_sta
ggodfrey,local-user,group:waows_sta,waows_sta
fgirbal,local-user,group:waows_sta,waows_sta
fmitton,local-user,group:waows_sta,waows_sta
jneufabe,local-user,group:waows_sta,waows_sta
ccibert,local-user,group:webadmin,webadmin
dmechain,local-user,group:webadmin,webadmin
jcazeils,local-user,group:webadmin,webadmin
fdeweulf,local-user,group:webadmin,webadmin
www-data,local-user,group:webadmin,webadmin
odallaro,local-user,group:webadmin,webadmin
wcottavo,local-user,group:webadmin,webadmin
dmechain,local-user,group:wlauser,wlauser
mguy,local-user,group:wlauser,wlauser
stokatli,local-user,group:wlauser,wlauser
Defaults,local-user,sudoers,sudoers
root,local-user,sudoers,sudoers
%wheel,local-user,sudoers,sudoers
fr-726-ansible,local-user,sudoers,sudoers
dcscaf,local-user,sudoers,sudoers
fr-726-ansible,local-user,sudoers.d,sudoers
fr-726-ansible,local-user,sudoers.d,sudoers
SYS_ADM,local-user,sudoers.d,sudoers
xgsa_cmdb,ssh-user,sshd_config,ssh-allowuser
